Lea State,LEA,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
UT,GEORGE WASHINGTON ACADEMY,4900046,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,GEORGE WASHINGTON ACADEMY,4900046,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,GEORGE WASHINGTON ACADEMY,4900046,2011,Total enrollment,,0,,22,13,49,10,769,52,915,77,0,0
UT,WEBER DISTRICT,4901200,2011,Allegations - basis of disability,15,,,,,,,,,,,,
UT,WEBER DISTRICT,4901200,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,2,4,0,10,0,16,2,0,0
UT,WEBER DISTRICT,4901200,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,2,4,0,21,0,27,6,0,0
UT,WEBER DISTRICT,4901200,2011,Total enrollment,,411,,551,266,3577,487,25279,0,30571,4260,353,663
UT,NO UT ACAD FOR MATH ENGINEERING & SCIENCE (NUAMES),4900063,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,NO UT ACAD FOR MATH ENGINEERING & SCIENCE (NUAMES),4900063,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,NO UT ACAD FOR MATH ENGINEERING & SCIENCE (NUAMES),4900063,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,NO UT ACAD FOR MATH ENGINEERING & SCIENCE (NUAMES),4900063,2011,Total enrollment,,2,,13,13,40,10,364,4,446,4,5,2
UT,KARL G MAESER PREPARATORY ACADEMY,4900056,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,KARL G MAESER PREPARATORY ACADEMY,4900056,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,KARL G MAESER PREPARATORY ACADEMY,4900056,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,KARL G MAESER PREPARATORY ACADEMY,4900056,2011,Total enrollment,,2,,19,4,40,2,466,13,546,29,22,0
UT,EDITH BOWEN LABORATORY SCHOOL,4900070,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,EDITH BOWEN LABORATORY SCHOOL,4900070,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,EDITH BOWEN LABORATORY SCHOOL,4900070,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,EDITH BOWEN LABORATORY SCHOOL,4900070,2011,Total enrollment,,2,,10,0,25,4,253,4,298,47,7,10
UT,UTAH VIRTUAL ACADEMY,4900130,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,UTAH VIRTUAL ACADEMY,4900130,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,UTAH VIRTUAL ACADEMY,4900130,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,UTAH VIRTUAL ACADEMY,4900130,2011,Total enrollment,,13,,19,13,100,43,1819,0,2007,251,0,0
UT,CACHE DISTRICT,4900120,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,CACHE DISTRICT,4900120,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,CACHE DISTRICT,4900120,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,CACHE DISTRICT,4900120,2011,Total enrollment,,0,,99,95,1329,96,14064,265,15948,2022,98,1171
UT,OQUIRRH MOUNTAIN CHARTER SCHOOL dba Jefferson Academy,4900139,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,OQUIRRH MOUNTAIN CHARTER SCHOOL dba Jefferson Academy,4900139,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,OQUIRRH MOUNTAIN CHARTER SCHOOL dba Jefferson Academy,4900139,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,OQUIRRH MOUNTAIN CHARTER SCHOOL dba Jefferson Academy,4900139,2011,Total enrollment,,7,,28,4,25,7,589,10,670,104,13,4
UT,RANCHES ACADEMY,4900064,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,RANCHES ACADEMY,4900064,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,2,0,2,0,0,0
UT,RANCHES ACADEMY,4900064,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,2,0,2,2,0,0
UT,RANCHES ACADEMY,4900064,2011,Total enrollment,,0,,2,0,0,2,313,49,366,50,4,0
UT,OPEN CLASSROOM,4900118,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,OPEN CLASSROOM,4900118,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,OPEN CLASSROOM,4900118,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,OPEN CLASSROOM,4900118,2011,Total enrollment,,2,,2,2,25,7,349,19,406,44,4,4
UT,MERIT COLLEGE PREPARATORY ACADEMY,4900131,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,MERIT COLLEGE PREPARATORY ACADEMY,4900131,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,MERIT COLLEGE PREPARATORY ACADEMY,4900131,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,MERIT COLLEGE PREPARATORY ACADEMY,4900131,2011,Total enrollment,,4,,2,4,61,4,517,10,602,77,2,0
UT,WEILENMANN SCHOOL OF DISCOVERY,4900145,2011,Allegations - basis of disability,8,,,,,,,,,,,,
UT,WEILENMANN SCHOOL OF DISCOVERY,4900145,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,2,0,2,2,0,0
UT,WEILENMANN SCHOOL OF DISCOVERY,4900145,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,5,0,5,5,0,0
UT,WEILENMANN SCHOOL OF DISCOVERY,4900145,2011,Total enrollment,,0,,10,4,16,4,469,19,522,47,13,0
UT,GATEWAY PREPARATORY ACADEMY,4900122,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,GATEWAY PREPARATORY ACADEMY,4900122,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,GATEWAY PREPARATORY ACADEMY,4900122,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,GATEWAY PREPARATORY ACADEMY,4900122,2011,Total enrollment,,7,,13,7,43,4,595,7,676,89,7,7
UT,EARLY LIGHT ACADEMY,4900140,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,EARLY LIGHT ACADEMY,4900140,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,EARLY LIGHT ACADEMY,4900140,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,EARLY LIGHT ACADEMY,4900140,2011,Total enrollment,,4,,10,7,40,4,664,19,748,77,4,13
UT,VENTURE ACADEMY,4900133,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,VENTURE ACADEMY,4900133,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,VENTURE ACADEMY,4900133,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,VENTURE ACADEMY,4900133,2011,Total enrollment,,4,,4,2,25,4,457,13,509,53,10,10
UT,GOOD FOUNDATIONS ACADEMY,4900147,2011,Allegations - basis of disability,2,,,,,,,,,,,,
UT,GOOD FOUNDATIONS ACADEMY,4900147,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,GOOD FOUNDATIONS ACADEMY,4900147,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,2,2,0,0,0
UT,GOOD FOUNDATIONS ACADEMY,4900147,2011,Total enrollment,,0,,7,0,34,4,322,16,383,29,2,0
UT,NORTH SUMMIT DISTRICT,4900690,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,NORTH SUMMIT DISTRICT,4900690,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,NORTH SUMMIT DISTRICT,4900690,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,NORTH SUMMIT DISTRICT,4900690,2015,Total enrollment,,4,,8,6,142,6,892,12,1070,118,0,63
UT,UTAH CONNECTIONS ACADEMY,4900151,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,UTAH CONNECTIONS ACADEMY,4900151,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,UTAH CONNECTIONS ACADEMY,4900151,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,UTAH CONNECTIONS ACADEMY,4900151,2015,Total enrollment,,4,,10,7,106,13,742,34,916,128,22,10
UT,MOUNTAIN HEIGHTS ACADEMY,4900138,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,MOUNTAIN HEIGHTS ACADEMY,4900138,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,MOUNTAIN HEIGHTS ACADEMY,4900138,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,MOUNTAIN HEIGHTS ACADEMY,4900138,2015,Total enrollment,,0,,5,8,34,2,451,19,519,74,40,2
UT,ROCKWELL CHARTER HIGH SCHOOL,4900125,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,ROCKWELL CHARTER HIGH SCHOOL,4900125,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,ROCKWELL CHARTER HIGH SCHOOL,4900125,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,ROCKWELL CHARTER HIGH SCHOOL,4900125,2015,Total enrollment,,4,,10,2,43,10,409,7,485,101,4,0
UT,VOYAGE ACADEMY,4900160,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,VOYAGE ACADEMY,4900160,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,VOYAGE ACADEMY,4900160,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,VOYAGE ACADEMY,4900160,2015,Total enrollment,,0,,4,2,34,4,472,19,535,59,0,0
UT,JOHN HANCOCK CHARTER SCHOOL,4900014,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,JOHN HANCOCK CHARTER SCHOOL,4900014,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,JOHN HANCOCK CHARTER SCHOOL,4900014,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,JOHN HANCOCK CHARTER SCHOOL,4900014,2015,Total enrollment,,0,,4,0,19,2,154,13,192,20,2,0
UT,ASCENT ACADEMIES OF UTAH,4900174,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,ASCENT ACADEMIES OF UTAH,4900174,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,ASCENT ACADEMIES OF UTAH,4900174,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,ASCENT ACADEMIES OF UTAH,4900174,2015,Total enrollment,,4,,36,13,168,27,1593,66,1907,276,26,6
UT,KANE DISTRICT,4900480,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,KANE DISTRICT,4900480,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,KANE DISTRICT,4900480,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,KANE DISTRICT,4900480,2015,Total enrollment,,34,,13,8,52,4,1159,15,1285,206,0,15
UT,UINTAH DISTRICT,4901080,2011,Allegations - basis of disability,25,,,,,,,,,,,,
UT,UINTAH DISTRICT,4901080,2011,Disciplined for harassment or bullying on basis of disability,,4,,0,0,4,0,18,2,28,7,0,0
UT,UINTAH DISTRICT,4901080,2011,Students reported to have been harassed or bullied on basis of disability,,2,,0,0,2,2,12,4,22,15,4,0
UT,UINTAH DISTRICT,4901080,2011,Total enrollment,,529,,37,58,467,41,5839,75,7046,986,78,163
UT,UTAH COUNTY ACADEMY OF SCIENCE (UCAS),4900020,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,UTAH COUNTY ACADEMY OF SCIENCE (UCAS),4900020,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,UTAH COUNTY ACADEMY OF SCIENCE (UCAS),4900020,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,UTAH COUNTY ACADEMY OF SCIENCE (UCAS),4900020,2011,Total enrollment,,4,,13,4,37,4,328,2,392,4,10,0
UT,MILLARD DISTRICT,4900540,2011,Allegations - basis of disability,4,,,,,,,,,,,,
UT,MILLARD DISTRICT,4900540,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,2,0,4,0,6,0,0,0
UT,MILLARD DISTRICT,4900540,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,4,2,6,2,0,0
UT,MILLARD DISTRICT,4900540,2011,Total enrollment,,32,,19,10,478,6,2395,26,2966,512,8,181
UT,SAN JUAN DISTRICT,4900900,2011,Allegations - basis of disability,1,,,,,,,,,,,,
UT,SAN JUAN DISTRICT,4900900,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,5,0,5,0,0,0
UT,SAN JUAN DISTRICT,4900900,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,2,0,2,0,0,0
UT,SAN JUAN DISTRICT,4900900,2011,Total enrollment,,1487,,4,8,101,12,1484,24,3120,352,14,683
UT,REAGAN ACADEMY,4900032,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,REAGAN ACADEMY,4900032,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,REAGAN ACADEMY,4900032,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,REAGAN ACADEMY,4900032,2011,Total enrollment,,7,,4,7,112,7,541,2,680,92,4,10
UT,WASHINGTON DISTRICT,4901140,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,WASHINGTON DISTRICT,4901140,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,WASHINGTON DISTRICT,4901140,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,WASHINGTON DISTRICT,4901140,2011,Total enrollment,,489,,199,480,3213,255,22104,180,26920,3137,6,1254
UT,SYRACUSE ARTS ACADEMY,4900044,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,SYRACUSE ARTS ACADEMY,4900044,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SYRACUSE ARTS ACADEMY,4900044,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SYRACUSE ARTS ACADEMY,4900044,2011,Total enrollment,,2,,7,25,49,19,913,4,1019,107,5,2
UT,MOUNTAINVILLE ACADEMY,4900051,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,MOUNTAINVILLE ACADEMY,4900051,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,MOUNTAINVILLE ACADEMY,4900051,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,MOUNTAINVILLE ACADEMY,4900051,2011,Total enrollment,,4,,22,4,34,10,664,13,751,68,10,0
UT,ROOTS CHARTER HIGH SCHOOL,4900178,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,ROOTS CHARTER HIGH SCHOOL,4900178,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,ROOTS CHARTER HIGH SCHOOL,4900178,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,ROOTS CHARTER HIGH SCHOOL,4900178,2015,Total enrollment,,4,,0,2,25,4,118,4,157,41,2,0
UT,SALT LAKE ARTS ACADEMY,4900018,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,SALT LAKE ARTS ACADEMY,4900018,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SALT LAKE ARTS ACADEMY,4900018,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SALT LAKE ARTS ACADEMY,4900018,2015,Total enrollment,,2,,13,0,28,4,334,10,391,23,0,0
UT,GATEWAY PREPARATORY ACADEMY,4900122,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,GATEWAY PREPARATORY ACADEMY,4900122,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,GATEWAY PREPARATORY ACADEMY,4900122,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,GATEWAY PREPARATORY ACADEMY,4900122,2015,Total enrollment,,13,,7,0,40,7,589,22,678,116,4,10
UT,SUMMIT ACADEMY,4900066,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,SUMMIT ACADEMY,4900066,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SUMMIT ACADEMY,4900066,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SUMMIT ACADEMY,4900066,2015,Total enrollment,,4,,59,11,122,17,1541,50,1804,193,29,20
UT,CANYON RIM ACADEMY,4900071,2015,Allegations - basis of disability,4,,,,,,,,,,,,
UT,CANYON RIM ACADEMY,4900071,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,2,0,2,0,0,0
UT,CANYON RIM ACADEMY,4900071,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,5,0,5,2,0,0
UT,CANYON RIM ACADEMY,4900071,2015,Total enrollment,,4,,4,2,25,4,475,19,533,56,0,0
UT,SOUTH SANPETE DISTRICT,4900960,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,SOUTH SANPETE DISTRICT,4900960,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SOUTH SANPETE DISTRICT,4900960,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SOUTH SANPETE DISTRICT,4900960,2015,Total enrollment,,29,,18,14,342,38,2871,30,3342,537,48,148
UT,SPECTRUM ACADEMY,4900042,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,SPECTRUM ACADEMY,4900042,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SPECTRUM ACADEMY,4900042,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SPECTRUM ACADEMY,4900042,2015,Total enrollment,,2,,6,7,65,9,905,35,1029,865,0,0
UT,MURRAY DISTRICT,4900600,2015,Allegations - basis of disability,4,,,,,,,,,,,,
UT,MURRAY DISTRICT,4900600,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,2,2,4,2,2,0
UT,MURRAY DISTRICT,4900600,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,2,2,4,2,0,0
UT,MURRAY DISTRICT,4900600,2015,Total enrollment,,40,,134,59,1185,192,4625,315,6550,889,42,325
UT,GUADALUPE SCHOOL,4900072,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,GUADALUPE SCHOOL,4900072,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,GUADALUPE SCHOOL,4900072,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,GUADALUPE SCHOOL,4900072,2011,Total enrollment,,0,,0,0,121,2,4,0,127,11,0,49
UT,QUEST ACADEMY,4900132,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,QUEST ACADEMY,4900132,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,QUEST ACADEMY,4900132,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,QUEST ACADEMY,4900132,2011,Total enrollment,,7,,4,4,61,0,676,0,752,89,13,0
UT,VISTA AT ENTRADA SCHOOL OF PERFORMING ARTS AND TECHNOLOGY,4900141,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,VISTA AT ENTRADA SCHOOL OF PERFORMING ARTS AND TECHNOLOGY,4900141,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,VISTA AT ENTRADA SCHOOL OF PERFORMING ARTS AND TECHNOLOGY,4900141,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,VISTA AT ENTRADA SCHOOL OF PERFORMING ARTS AND TECHNOLOGY,4900141,2011,Total enrollment,,4,,4,7,52,7,739,13,826,101,2,25
UT,DAVIS DISTRICT,4900210,2011,Allegations - basis of disability,15,,,,,,,,,,,,
UT,DAVIS DISTRICT,4900210,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,2,0,29,4,35,12,0,0
UT,DAVIS DISTRICT,4900210,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,2,24,0,26,24,0,2
UT,DAVIS DISTRICT,4900210,2011,Total enrollment,,399,,1126,806,5927,1060,59210,1058,69586,9802,463,3130
UT,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),4900017,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),4900017,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),4900017,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),4900017,2011,Total enrollment,,19,,49,40,106,34,238,2,488,20,4,40
UT,JORDAN SCHOOL DISTRICT,4900420,2011,Allegations - basis of disability,19,,,,,,,,,,,,
UT,JORDAN SCHOOL DISTRICT,4900420,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,2,7,0,21,0,30,4,0,0
UT,JORDAN SCHOOL DISTRICT,4900420,2011,Students reported to have been harassed or bullied on basis of disability,,0,,2,0,7,4,19,0,32,2,0,0
UT,JORDAN SCHOOL DISTRICT,4900420,2011,Total enrollment,,279,,863,793,6598,506,40467,1523,51029,5970,158,1833
UT,PROVO DISTRICT,4900810,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,PROVO DISTRICT,4900810,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,PROVO DISTRICT,4900810,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,PROVO DISTRICT,4900810,2011,Total enrollment,,10,,389,330,4010,163,9382,340,14624,2048,164,2492
UT,WASATCH PEAK ACADEMY,4900024,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,WASATCH PEAK ACADEMY,4900024,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,WASATCH PEAK ACADEMY,4900024,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,WASATCH PEAK ACADEMY,4900024,2011,Total enrollment,,2,,7,19,25,8,310,4,375,50,7,2
UT,SALT LAKE DISTRICT,4900870,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,SALT LAKE DISTRICT,4900870,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SALT LAKE DISTRICT,4900870,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SALT LAKE DISTRICT,4900870,2015,Total enrollment,,372,,1145,1131,9837,1015,10146,906,24552,3291,107,4718
UT,NORTH DAVIS PREPARATORY ACADEMY,4900068,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,NORTH DAVIS PREPARATORY ACADEMY,4900068,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,NORTH DAVIS PREPARATORY ACADEMY,4900068,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,NORTH DAVIS PREPARATORY ACADEMY,4900068,2015,Total enrollment,,4,,16,4,262,31,682,28,1027,86,0,40
UT,MOUNTAINVILLE ACADEMY,4900051,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,MOUNTAINVILLE ACADEMY,4900051,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,MOUNTAINVILLE ACADEMY,4900051,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,MOUNTAINVILLE ACADEMY,4900051,2015,Total enrollment,,7,,13,2,31,4,685,28,770,83,10,0
UT,LOGAN CITY DISTRICT,4900510,2015,Allegations - basis of disability,11,,,,,,,,,,,,
UT,LOGAN CITY DISTRICT,4900510,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,2,0,2,2,6,0,0,0
UT,LOGAN CITY DISTRICT,4900510,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,4,0,6,0,10,4,0,2
UT,LOGAN CITY DISTRICT,4900510,2015,Total enrollment,,84,,229,79,1731,116,3900,112,6251,987,10,716
UT,MARIA MONTESSORI ACADEMY,4900144,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,MARIA MONTESSORI ACADEMY,4900144,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,MARIA MONTESSORI ACADEMY,4900144,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,MARIA MONTESSORI ACADEMY,4900144,2015,Total enrollment,,2,,10,4,82,7,523,16,644,122,0,5
UT,PACIFIC HERITAGE ACADEMY,4900159,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,PACIFIC HERITAGE ACADEMY,4900159,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,PACIFIC HERITAGE ACADEMY,4900159,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
